lat,lon,population
-33.45,-70.52,1530.9249165975475
-33.44,-70.77,14919.22778018109
-33.44,-70.76,18243.182586098974
-33.44,-70.75,12745.671920056873
-33.44,-70.74,15729.663518954852
-33.44,-70.73,14946.748991826349
-33.44,-70.72,13497.479977077031
-33.44,-70.71,14140.276063811352
-33.44,-70.7,9703.644781742285
-33.44,-70.69,4742.256187852211
-33.44,-70.68,10116.715557370408
-33.44,-70.67,16121.732855188808
-33.44,-70.66,19427.99992225006
-33.44,-70.65,12019.680965353893
-33.44,-70.64,23787.822921334882
-33.44,-70.63,13491.652452281063
-33.44,-70.62,8891.099693099346
-33.44,-70.61,12065.455765052506
-33.44,-70.6,12632.593900231754
-33.44,-70.59,10248.663467804614
-33.44,-70.57,7433.055021674034
-33.44,-70.56,7684.285127232173
-33.44,-70.55,6057.247175626841
-33.44,-70.54,4598.899883276556
-33.44,-70.53,2962.955261451814
-33.44,-70.52,1906.5412415790242
-33.43,-70.84,37.46260336031039
-33.43,-70.79,2028.3604732499
-33.43,-70.77,15404.60860531173
-33.43,-70.75,19356.71130412304
-33.43,-70.74,15688.292692648729
-33.43,-70.73,18684.542419701636
-33.43,-70.72,10714.42901692637
-33.43,-70.71,8484.620487645707
-33.43,-70.7,7960.457304229722
-33.43,-70.69,9259.583082793239
-33.43,-70.68,9927.326377570409
-33.43,-70.67,11758.970270777985
-33.43,-70.66,19117.035759105074
-33.43,-70.65,8952.370811870236
-33.43,-70.64,7922.102450005929
-33.43,-70.63,3535.484098779855
-33.43,-70.62,11741.98046410803
-33.43,-70.61,13712.832492344847
-33.43,-70.6,16666.89466327047
-33.43,-70.59,13971.898517203204
-33.43,-70.58,13550.373739647477
-33.43,-70.57,3057.166901436984
-33.43,-70.56,5904.220960344798
-33.43,-70.55,5105.987398119062
-33.43,-70.54,6776.962970006615
-33.43,-70.53,3863.9243727737958
-33.43,-70.52,2872.581717424435
-33.42,-70.76,14078.878252972989
-33.42,-70.75,14619.939389820354
-33.42,-70.74,20851.086459332466
-33.42,-70.72,18139.332485655854
-33.42,-70.71,11736.274322185165
-33.42,-70.7,10353.018965560259
-33.42,-70.69,6854.450259969895
-33.42,-70.68,5799.9121359442815
-33.42,-70.67,14692.1285062242
-33.42,-70.66,15175.366564901298
-33.42,-70.65,5491.385834090049
-33.42,-70.64,11492.997477066518
-33.42,-70.62,4227.514308457588
-33.42,-70.61,4847.130845293225
-33.42,-70.6,9904.997848896879
-33.42,-70.59,10714.548800429926
-33.42,-70.58,20458.27268638042
-33.42,-70.57,18394.601924663202
-33.42,-70.56,14709.472253091824
-33.42,-70.55,10034.742016921824
-33.42,-70.54,9945.434565689215
-33.42,-70.53,7226.783582846242
-33.42,-70.51,2265.5372622499035
-33.41,-70.78,2481.521931301437
-33.41,-70.76,4440.158845058524
-33.41,-70.75,7153.28712522893
-33.41,-70.74,27820.583964416495
-33.41,-70.72,29515.790252166327
-33.41,-70.71,11017.581090951033
-33.41,-70.7,9270.422650998154
-33.41,-70.69,6395.964755835514
-33.41,-70.68,10348.399703660914
-33.41,-70.66,11699.32641637674
-33.41,-70.65,4274.138803932526
-33.41,-70.64,8903.037626165555
-33.41,-70.62,6596.682534118501
-33.41,-70.61,1388.6983921991462
-33.41,-70.6,5531.40306352828
-33.41,-70.59,14287.632780165026
-33.41,-70.58,4885.814669445886
-33.41,-70.57,19778.476458679565
-33.41,-70.56,10667.492724206219
-33.41,-70.55,7253.241590874501
-33.41,-70.54,6463.293021311978
-33.41,-70.53,5143.719635709349
-33.41,-70.52,4714.323069374605
-33.41,-70.51,3009.6971877224973
-33.41,-70.5,1504.643076617498
-33.4,-70.75,15735.905573331176
-33.4,-70.74,13473.512344566097
-33.4,-70.71,13863.828898170072
-33.4,-70.7,12730.086615274844
-33.4,-70.69,4651.942941333835
-33.4,-70.67,11608.802232954582
-33.4,-70.66,11996.479922652916
-33.4,-70.64,17466.387096976774
-33.4,-70.63,17666.594080487295
-33.4,-70.62,3086.4160718405924
-33.4,-70.6,3716.8150101776005
-33.4,-70.59,8029.666915876331
-33.4,-70.58,10038.30357244572
-33.4,-70.57,10534.422627884538
-33.4,-70.56,13236.567885523007
-33.4,-70.55,5163.6730949097355
-33.4,-70.54,3324.0623527776484
-33.4,-70.53,2086.106671188914
-33.4,-70.52,1740.5110380234914
-33.4,-70.51,1237.5985945569785
-33.4,-70.5,2639.0675302141763
-33.39,-70.75,6344.025534989668
-33.39,-70.69,6073.888262124858
-33.39,-70.68,14866.518496795023
-33.39,-70.67,16718.78780981206
-33.39,-70.66,19017.988189498374
-33.39,-70.65,23162.70765504506
-33.39,-70.64,17226.56626509552
-33.39,-70.62,1765.9874239852793
-33.39,-70.61,954.6177887315722
-33.39,-70.6,2052.5179185817574
-33.39,-70.59,5054.702415416594
-33.39,-70.58,3663.512830546388
-33.39,-70.57,4156.745644400524
-33.39,-70.56,5049.131913385887
-33.39,-70.55,5323.597676258943
-33.39,-70.54,6372.297062220519
-33.39,-70.53,3762.906118610994
-33.39,-70.52,1743.4997865047187
-33.39,-70.51,5438.977971578386
-33.39,-70.5,4579.944577714103
-33.38,-70.77,1599.6713816203758
-33.38,-70.76,1198.0580769855546
-33.38,-70.73,9598.224564361306
-33.38,-70.69,9268.94417972814
-33.38,-70.68,13843.562420721082
-33.38,-70.66,17197.77659093058
-33.38,-70.65,9953.17044023743
-33.38,-70.64,5824.643955969463
-33.38,-70.63,3797.95384208953
-33.38,-70.62,5309.249539568008
-33.38,-70.61,1049.068338007609
-33.38,-70.59,2010.8719262418779
-33.38,-70.58,2171.2296783195725
-33.38,-70.57,3382.1795379740297
-33.38,-70.56,4159.592567858767
-33.38,-70.55,8932.922763200975
-33.38,-70.54,6611.8632329922575
-33.38,-70.53,2017.4602202569442
-33.38,-70.52,2572.5426969609775
-33.38,-70.51,2404.2817366039017
-33.38,-70.5,2570.8420161691447
-33.37,-70.76,9954.887362159992
